sentence	name	link
 Если человек не ездил на лошадях по глухим проселочным дорогам, то рассказывать мне ему об этом нечего: все равно он не поймет.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А тому, кто ездил, и напоминать не хочу.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Скажу коротко: сорок верст, отделяющих уездный город Грачевку от Мурьевской больницы, ехали мы с возницей моим ровно сутки.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 И даже до курьезного ровно: в два часа дня 16 сентября 1917 года мы были у последнего лабаза, помещающегося на границе этого замечательного города Грачевки, а в два часа пять минут 17 сентября того же 17-го незабываемого года я стоял на битой, умирающей и смякшей от сентябрьского дождика траве во дворе Мурьевской больницы.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Стоял я в таком виде: ноги окостенели, и настолько, что я смутно тут же во дворе мысленно перелистывал страницы учебников, тупо стараясь припомнить, существует ли действительно, или мне это померещилось во вчерашнем сне в деревне Грабиловке, болезнь, при которой у человека окостеневают мышцы?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Как ее, проклятую, зовут по-латыни?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Каждая из мышц этих болела нестерпимой болью, напоминающей зубную боль.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 О пальцах на ног говорить не приходится — они уже не шевелились в сапогах, лежали смирно, были похожи на деревянные культяпки.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Сознаюсь, что в порыве малодушия я проклинал шепотом медицину и свое заявление, поданное пять лет тому назад ректору университета.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Сверху в это время сеяло, как сквозь сито.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Пальто мое набухло, как губка.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Пальцами правой руки я тщетно пытался ухватиться за ручку чемодана и наконец плюнул на мокрую траву.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" Пальцы мои ничего не могли хватать, и опять мне, начиненному всякими знаниями из интересных медицинских книжек, вспомнилась болезнь — паралич ""Парализис"", — отчаянно мысленно и черт знает зачем сказал я себе."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — П... по вашим дорогам, — заговорил я деревянными, синенькими губами, — нужно п...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 И при этом злобно почему-то уставился на возницу, хотя он, собственно, и не был виноват в такой дороге.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — Эх... товарищ доктор, — отозвался возница, тоже еле шевеля губами под светлыми усишками, — пятнадцать годов езжу, а все привыкнуть не могу.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Я содрогнулся, оглянулся тоскливо на белый облупленный двухэтажный корпус, на небеленые бревенчатые стены фельдшерского домика, на свою будущую резиденцию — двухэтажный, очень чистенький дом с гробовыми загадочными окнами, протяжно вздохнул.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" И тут же мутно мелькнула в голове вместо латинских слов сладкая фраза, которую спел в ошалевших от качки мозгах полный тенор с голубыми ляжками: — ""Привет тебе... при-ют свя-щенный..."" Прощай, прощай надолго, золото-красный Большой театр, Москва, витрины..."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" ""Я тулуп буду в следующий раз надевать... — в злобном отчаянии думал я и рвал чемодан за ремни негнущимися руками, — я..."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А раньше чем через месяц я не поеду, не поеду в Грачевку...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Подумайте сами... ведь ночевать пришлось!	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Двадцать верст сделали и оказались в могильной тьме... ночь...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А сегодня утром выехали в семь утра...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 И вот едешь... батюшки-с-светы...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Одно колесо ухает в яму, другое на воздух подымается, чемодан на ноги — бух... потом на бок, потом на другой, потом носом вперед, потом затылком.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А сверху сеет и сеет, и стынут кости.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Да разве я мог бы поверить, что в середине серенького кислого сентября человек может мерзнуть в поле, как в лютую зиму?!	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Ан, оказывается, может.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 И пока умираешь медленною смертью, валишь одно и то же, одно.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
